post_id,user_id,vehicle_id,price
7315354216c016a996-090d-4215-8b42-6a95c2d5cf29,c016a996-090d-4215-8b42-6a95c2d5cf29,7315354216,8950
73151105750d1568e4-d32b-4374-88de-3a4d82a4997c,0d1568e4-d32b-4374-88de-3a4d82a4997c,7315110575,9400
7311700844b091daef-7e4d-4a10-bb81-e6b9a92ce77d,b091daef-7e4d-4a10-bb81-e6b9a92ce77d,7311700844,17200
731138976086cdd318-4694-4896-8f87-7a5d312ea70d,86cdd318-4694-4896-8f87-7a5d312ea70d,7311389760,33990
731138333819670ba4-0ca5-4c2f-9cf9-a6963ae0366f,19670ba4-0ca5-4c2f-9cf9-a6963ae0366f,7311383338,26990
7305848451385131b3-1ae3-42e0-a2d2-e8e75007c001,385131b3-1ae3-42e0-a2d2-e8e75007c001,7305848451,6950
7316206960a753e041-7a27-4837-8dd1-73bc8c98bad1,a753e041-7a27-4837-8dd1-73bc8c98bad1,7316206960,16495
7313495167a97346f2-90e0-4bba-9801-5f67e91b0b9d,a97346f2-90e0-4bba-9801-5f67e91b0b9d,7313495167,8995
73117012656df90602-f702-4a84-83c9-8491bef0dcc1,6df90602-f702-4a84-83c9-8491bef0dcc1,7311701265,31900
7311701267ee2bbfaa-a246-4646-96ee-2f71003dbd06,ee2bbfaa-a246-4646-96ee-2f71003dbd06,7311701267,29900
7311701268ec3d4ffe-9deb-4a74-a1f9-9ae041062742,ec3d4ffe-9deb-4a74-a1f9-9ae041062742,7311701268,37900
7303640335e9e8835a-110b-44c7-a1c4-f3e21872d852,e9e8835a-110b-44c7-a1c4-f3e21872d852,7303640335,34800
730318759467b86be4-502a-4ae1-80b0-4bc4fa6f5b52,67b86be4-502a-4ae1-80b0-4bc4fa6f5b52,7303187594,12500
73153572635599e377-578c-4abc-9527-3fa4d421f265,5599e377-578c-4abc-9527-3fa4d421f265,7315357263,8450
7308341110599cb954-f8ad-4d85-b3ba-8b98fc18ad0d,599cb954-f8ad-4d85-b3ba-8b98fc18ad0d,7308341110,12788
73167932047f93dac3-fd58-4553-913c-49c4eeb71a6d,7f93dac3-fd58-4553-913c-49c4eeb71a6d,7316793204,7950
7309390549ad4e4d93-68ba-4cc3-bba2-784ea381a103,ad4e4d93-68ba-4cc3-bba2-784ea381a103,7309390549,13950
7309388743bf78c43b-3ff3-4a82-9736-2384f4803f4e,bf78c43b-3ff3-4a82-9736-2384f4803f4e,7309388743,8950
73070678402b75b2e1-6e87-4282-b639-2d3f8bca51e2,2b75b2e1-6e87-4282-b639-2d3f8bca51e2,7307067840,24900
730230715362b3e0b2-96b6-4619-b02b-8f773827e509,62b3e0b2-96b6-4619-b02b-8f773827e509,7302307153,8950
7302197505a2c113b2-9fcd-48e5-8922-f40f0dbb2097,a2c113b2-9fcd-48e5-8922-f40f0dbb2097,7302197505,58995
73157394447bf0c8e7-1e40-4bfa-a169-1d0fe94cf8f2,7bf0c8e7-1e40-4bfa-a169-1d0fe94cf8f2,7315739444,19500
731565212108e05194-370f-4b18-9a1c-d21fecf81712,08e05194-370f-4b18-9a1c-d21fecf81712,7315652121,39995
73156520507e8889b7-9021-4014-9594-312e9eda34c9,7e8889b7-9021-4014-9594-312e9eda34c9,7315652050,17995
7314202494f6cb0e80-13a8-4542-bb9c-886291a01de0,f6cb0e80-13a8-4542-bb9c-886291a01de0,7314202494,64995
731319591455136d5f-a2e8-48fc-87c3-c808e1e4bef7,55136d5f-a2e8-48fc-87c3-c808e1e4bef7,7313195914,8950
7312224997df5637e2-f817-4f0a-bcb0-4b4d055adad1,df5637e2-f817-4f0a-bcb0-4b4d055adad1,7312224997,31995
